"Submit","Провести"
"Transporter Name","Наименование транспортировщика"
"Trash","Корзина"
"Travel Expenses","Транспортные расходы"
"Tree","Дерево"
"Tree Details","Параметры дерева"
"Tree Type","Тип дерева"
"Tree View","Древовидный вид"
"Tree structures are implemented using Nested Set","Структуры дерева реализованы с использованием Nested Set"
"Tree view is not available for {0}","Древовидный вид недоступен для {0}"
"Trial Balance","Пробный баланс"
"Trial Balance (Simple)","Пробный баланс (упрощённый)"
"Trial Balance for Party","Пробный баланс по контрагенту"
"Trial Period End Date","Дата окончания пробного периода"
"Trial Period End Date Cannot be before Trial Period Start Date","Дата окончания пробного периода не может быть раньше даты начала пробного периода"
"Trial Period Start Date","Дата начала пробного периода"
"Trial Period Start date cannot be after Subscription Start Date","Дата начала пробного периода не может быть позже даты начала подписки"
"Trialling","На пробе"
"Trigger Method","Метод срабатывания"
"Trigger Primary Action","Срабатывание основного действия"
"Trigger caching","Срабатывание кэширования"
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Срабатывание на допустимые методы вроде ""before_insert"", ""after_update"" и т. д. (зависит от выбранного типа документа)"
"Trim Table","Сокращение таблицы"
"Truncates 'Remarks' column to set character length","Сокращает колонку 'Примечания' до установленной длины символов"
"Try Again","Повторить попытку"
"Try a Naming Series","Попробовать серию нумерации"
"Try the new Print Designer","Попробовать новый конструктор печати"
"Try to avoid repeated words and characters","Старайтесь избегать повторяющихся слов и символов"
"Try to use a longer keyboard pattern with more turns","Попробуйте использовать более длинный паттерн клавиатуры с большим количеством поворотов"
"Tuesday","Вторник"
"Turnover Ratios","Коэффициенты текучести"
"Twice Daily","Дважды в день"
"Two Factor Authentication","Двухфакторная аутентификация"
"Two Factor Authentication method","Метод двухфакторной аутентификации"
"Two-way","Двусторонний"
"Type","Тип"
"Type Distribution","Распределение по типам"
"Type Of Call","Тип звонка"
"Type a reply / comment","Введите ответ / комментарий"
"Type of Payment","Способ оплаты"
"Type of Transaction","Тип операции"
"Type of document to rename.","Тип документа для переименования."
"Type something in the search box to search","Введите текст в поле поиска для поиска"
"Type title","Введите заголовок"
"Type your reply here...","Введите ответ здесь..."
"Type:","Тип:"
"Types of activities for Time Logs","Типы деятельности для логов времени"
"UAE VAT 201","НДС ОАЭ 201"
"UAE VAT Account","Счёт НДС ОАЭ"
"UAE VAT Accounts","Счета НДС ОАЭ"
"UAE VAT Settings","Параметры НДС ОАЭ"
"UI Tour","Экскурсия по интерфейсу"
"UOM Category","Категория единицы измерения"
"UOM Conversion Detail","Деталь конвертации единицы измерения"
"UOM Conversion Factor","Коэффициент конвертации единицы измерения"
"UOM Conversion factor ({0} -> {1}) not found for item: {2}","Коэффициент конвертации единицы измерения ({0} -> {1}) не найден для номенклатуры: {2}"
"UOM Conversion factor is required in row {0}","Коэффициент конвертации единицы измерения требуется в строке {0}"
"UOM Name","Наименование единицы измерения"
"UOM conversion factor required for UOM: {0} in Item: {1}","Коэффициент конвертации единицы измерения требуется для: {0} в номенклатуре: {1}"
"UOM {0} not found in Item {1}","Единица измерения {0} не найдена в номенклатуре {1}"
"UOMs","Единицы измерения"
"UPC","Универсальный код товара"
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.|||<br>e.g. http://hostname/api/method/frappe.integrations.oauth2_logins.login_via_facebook","URI для получения кода авторизации после того, как пользователь разрешит доступ, а также ответы об ошибках. Обычно это REST-endpoint, предоставляемый приложением клиента.|||<br>напр. http://hostname/api/method/frappe.integrations.oauth2_logins.login_via_facebook"
"URL can only be a string","URL может быть только строкой"
"URL contact must start with https://","URL контакта должен начинаться с https://"
"URL for documentation or help","URL документации или справки"
"URL must start with http:// or https://","URL должен начинаться с http:// или https://"
"URL of the page","URL страницы"
"URL to go to on clicking the slideshow image","URL для перехода при нажатии на изображение слайдшоу"
"UnBuffered Cursor","Неполный курсор"
"UnReconcile","Отменить сопоставление"
"UnReconcile Allocations","Отменить сопоставление распределений"
"Unable to find DocType {0}","Не удалось найти тип документа {0}"
"Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually","Не удалось найти курс обмена для {0} в {1} на дату {2}. Пожалуйста, создайте запись о курсе обмена вручную"
"Unable to find score starting at {0}. You need to have standing scores covering 0 to 100","Не удалось найти оценку, начинающуюся с {0}. Вам нужны оценки, охватывающие диапазон от 0 до 100"
"Unable to find the time slot in the next {0} days for the operation {1}. Please increase the 'Capacity Planning For (Days)' in the {2}.","Не удалось найти временной слот в течение следующих {0} дней для операции {1}. Пожалуйста, увеличьте значение 'Планирование мощности на (дни)' в {2}."
"Unable to find variable:","Не удалось найти переменную:"
"Unable to load camera.","Не удалось загрузить камеру."
"Unable to load: {0}","Не удалось загрузить: {0}"
"Unable to open attached file. Did you export it as CSV?","Не удалось открыть прикреплённый файл. Вы экспортировали его как CSV?"
"Unable to read file format for {0}","Не удалось прочитать формат файла для {0}"
"Unable to send mail because of a missing email account. Please setup default Email Account from Settings > Email Account","Не удалось отправить письмо из-за отсутствия учётной записи электронной почты. Пожалуйста, установите учётную запись по умолчанию в Параметры > Учётная запись электронной почты"
"Unable to update event","Не удалось обновить событие"
"Unable to write file format for {0}","Не удалось записать формат файла для {0}"
"Unallocated Amount","Нераспределённая сумма"
"Unassign Condition","Условие снятия назначения"
"Unassigned Qty","Нераспределённое количество"
"Unblock Invoice","Разблокировать счёт-фактуру"
"Uncaught Server Exception","Необработанное исключение на сервере"
"Unchanged","Без изменений"
"Unclosed Fiscal Years Profit / Loss (Credit)","Прибыль/убыток по незакрытым налоговым периодам (кредит)"
"Under AMC","В рамках АМС"
"Under Graduate","Неполное высшее образование"
"Under Warranty","На гарантии"
"Under Working Hours table, you can add start and end times for a Workstation. For example, a Workstation may be active from 9 am to 1 pm, then 2 pm to 5 pm. You can also specify the working hours based on shifts. While scheduling a Work Order, the system will check for the availability of the Workstation based on the working hours specified.","В таблице 'Рабочие часы' вы можете указать время начала и окончания работы рабочего центра. Например, рабочий центр может работать с 9:00 до 13:00, затем с 14:00 до 17:00. Вы также можете указать рабочие часы по сменам. При планировании производственного заказа система проверит доступность рабочего центра на основании указанных рабочих часов."
"Undo","Отменить"
"Undo last action","Отменить последнее действие"
"Unfollow","Отписаться"
"Unfulfilled","Невыполненный"
"Unhandled Email","Необработанное письмо"
"Unhandled Emails","Необработанные письма"
"Unhide Workspace","Показать рабочее пространство"
"Unique","Уникальный"
"Unit Price","Цена за единицу"
"Unit of Measure {0} has been entered more than once in Conversion Factor Table","Единица измерения {0} введена более одного раза в таблице коэффициентов преобразования"
"Units of Measure","Единицы измерения"
"Unknown","Неизвестно"
"Unknown Caller","Неизвестный звонящий"
"Unknown Column: {0}","Неизвестный столбец: {0}"
"Unknown Rounding Method: {}","Неизвестный метод округления: {}"
"Unknown User","Неизвестный пользователь"
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Неизвестная кодировка файла. Попытались utf-8, windows-1250, windows-1252."
"Unlink Advance Payment on Cancellation of Order","Отменить связь авансового платежа при отмене заказа"
"Unlink Payment on Cancellation of Invoice","Отменить связь платежа при отмене счёта-фактуры"
"Unlink external integrations","Отменить связь внешних интеграций"
"Unlinked","Не связано"
"Unlock Reference Document","Разблокировать исходный документ"
"Unpaid","Не оплачено"
"Unpaid and Discounted","Не оплачено и со скидкой"
"Unplanned machine maintenance","Внеплановое техническое обслуживание оборудования"
"Unpublish","Отменить публикацию"
"Unqualified","Не квалифицированный"
"Unread","Непрочитанное"
"Unread Notification Sent","Отправлено непрочитанное уведомление"
"Unrealized Exchange Gain/Loss Account","Счет нереализованного валютного курса"
"Unrealized Profit / Loss Account","Счет нереализованной прибыли / убытка"
"Unrealized Profit / Loss account for intra-company transfers","Счет нереализованной прибыли / убытка для внутригрупповых операций"
"Unrealized Profit/Loss account for intra-company transfers","Счет нереализованной прибыли / убытка для внутригрупповых операций"
"Unreconcile Payment","Отменить сверку платежа"
"Unreconcile Payment Entries","Отменить сверку записей платежа"
"Unreconcile Transaction","Отменить сверку операции"
"Unreconciled","Не сверено"
"Unreconciled Amount","Несверенная сумма"
"Unreconciled Entries","Несверенные записи"
"Unreserve","Снять зарезервирование"
"Unreserve Stock","Снять резервирование запасов"
"Unreserving Stock...","Снятие резервирования запасов..."
"Unresolved","Неразрешено"
"Unsafe SQL query","Небезопасный SQL запрос"
"Unscheduled","Не запланировано"
"Unsecured Loans","Необеспеченные кредиты"
"Unselect All","Отменить выбор всего"
"Unset Matched Payment Request","Отменить установку согласованного запроса платежа"
"Unshared","Не доступно общего доступа"
"Unsigned","Не подписано"
"Unsubscribe","Отписаться"
"Unsubscribe Method","Метод отписки"
"Unsubscribe Param","Параметр отписки"
"Unsubscribe from this Email Digest","Отписаться от этого дайджеста электронной почты"
"Unsubscribed","Отписан"
"Until","До"
"Untitled Column","Безымянная колонка"
"Unverified","Не проверено"
"Unverified Webhook Data","Неверифицированные данные Webhook"
"Unzip","Распаковать"
"Unzipped {0} files","Распаковано {0} файлов"
"Unzipping files...","Распаковка файлов..."
"Up","Вверх"
"Upcoming Calendar Events","Предстоящие события календаря"
"Upcoming Events for Today","Предстоящие события на сегодня"
"Update","Обновить"
"Update Account Name / Number","Обновить название/номер счёта"
"Update Account Number / Name","Обновить номер/название счёта"
"Update Amendment Naming","Обновить наименование изменений"
"Update Auto Repeat Reference","Обновить ссылку на автоповтор"
"Update BOM Cost Automatically","Автоматически обновлять стоимость спецификации"
"Update BOM cost automatically via scheduler, based on the latest Valuation Rate/Price List Rate/Last Purchase Rate of raw materials","Автоматически обновлять стоимость спецификации через планировщик на основе последнего курса переоценки/цены в прайс-листе/последней цены закупки сырья"
"Update Batch Qty","Обновить количество партии"
"Update Billed Amount in Delivery Note","Обновить выставленную сумму в накладной отгрузки"
"Update Billed Amount in Purchase Order","Обновить выставленную сумму в заказе поставщику"
"Update Billed Amount in Purchase Receipt","Обновить выставленную сумму в акте приёма"
"Update Billed Amount in Sales Order","Обновить выставленную сумму в заказе покупателя"
"Update Clearance Date","Обновить дату разрешения"
"Update Consumed Material Cost In Project","Обновить стоимость израсходованных материалов в проекте"
"Update Cost","Обновить стоимость"
"Update Cost Center Name / Number","Обновить название/номер центра затрат"
"Update Costing and Billing","Обновить расчёты и выставление счётов"
"Update Current Stock","Обновить текущий запас"
"Update Details","Обновить детали"
"Update Existing Price List Rate","Обновить существующую цену в прайс-листе"
"Update Existing Records","Обновить существующие записи"
"Update Field","Обновить поле"
"Update Hooks Resolution Order","Обновить порядок разрешения hooks"
"Update Items","Обновить номенклатуры"
"Update Order","Обновить заказ"
"Update Outstanding for Self","Обновить задолженность за собой"
"Update Password","Обновить пароль"
"Update Price List Based On","Обновить прайс-лист на основе"
"Update Print Format","Обновить формат печати"
"Update Rate and Availability","Обновить цену и наличие"
"Update Rate as per Last Purchase","Обновить цену по последней закупке"
"Update Series Counter","Обновить счётчик серии"
"Update Series Number","Обновить номер серии"
"Update Settings","Обновить параметры"
"Update Stock","Обновить запас"
"Update Translations","Обновить переводы"
"Update Type","Тип обновления"
"Update Value","Значение обновления"
"Update frequency of Project","Частота обновления проекта"
"Update from Frappe Cloud","Обновить из Frappe Cloud"
"Update latest price in all BOMs","Обновить последнюю цену во всех спецификациях"
"Update stock must be enabled for the purchase invoice {0}","Для счёта-фактуры покупателя {0} должно быть включено обновление остатков"
"Update the modified timestamp on new communications received in Lead & Opportunity.","Обновить временную метку при получении новых сообщений в Лид и Возможность."
"Update timestamp on new communication","Обновить временную метку при новом сообщении"
"Update {0} records","Обновить {0} записей"
"Updated","Обновлено"
"Updated Successfully","Успешно обновлено"
"Updated To A New Version \u{1F389}","Обновлено до новой версии \u{1F389}"
"Updated To A New Version 🎉","Обновлено до новой версии 🎉"
"Updated successfully","Успешно обновлено"
"Updated via 'Time Log' (In Minutes)","Обновлено через 'Журнал учёта времени' (в минутах)"
"Updates","Обновления"
"Updating","Обновление"
"Updating Costing and Billing fields against this Project...","Обновление полей стоимости и выставления счетов по проекту..."
"Updating Email Queue Statuses. The emails will be picked up in the next scheduled run.","Обновление статусов очереди писем. Письма будут обработаны при следующем запланированном запуске."
"Updating Variants...","Обновление вариантов..."
"Updating Work Order status","Обновление статуса производственного заказа"
"Updating counter may lead to document name conflicts if not done properly","Обновление счётчика может привести к конфликтам имён документов, если выполнено ненадлежащим образом"
"Updating global settings","Обновление глобальных параметров"
"Updating naming series options","Обновление параметров серии нумерации"
"Updating related fields...","Обновление связанных полей..."
"Updating {0}","Обновление {0}"
"Updating {0} of {1}, {2}","Обновление {0} из {1}, {2}"
"Upgrade plan","Обновить план"
"Upgrade your support experience with Frappe Helpdesk","Улучшьте свой опыт поддержки с помощью Frappe Helpdesk"
"Upload","Загрузить"
"Upload Bank Statement","Загрузить банковскую выписку"
"Upload Image","Загрузить изображение"
"Upload XML Invoices","Загрузить XML счета-фактуры"
"Upload file","Загрузить файл"
"Upload {0} files","Загрузить {0} файлов"
"Uploaded To Dropbox","Загружено в Dropbox"
"Uploaded To Google Drive","Загружено в Google Drive"
"Uploading backup to Google Drive.","Загрузка резервной копии в Google Drive."
"Uploading successful.","Загрузка выполнена успешно."
"Uploading to Google Drive","Загрузка в Google Drive"
"Upon enabling this, the JV will be submitted for a different exchange rate.","При включении этого параметра совместное предприятие будет проведено по другому курсу обмена."
"Upper Income","Высокий доход"
"Urgent","Срочно"
"Use % for any non empty value.","Используйте % для любого непустого значения."
"Use 'Repost in background' button to trigger background job. Job can only be triggered when document is in Queued or Failed status.","Используйте кнопку «Переопубликовать в фоновом режиме» для запуска фонового задания. Задание можно запустить только когда документ находится в статусе «В очереди» или «Ошибка»."
"Use ASCII encoding for password","Используйте кодировку ASCII для пароля"
"Use Batch-wise Valuation","Использовать оценку по партиям"
"Use Company Default Round Off Cost Center","Использовать центр затрат по умолчанию компании для округления"
"Use Company default Cost Center for Round off","Использовать центр затрат компании по умолчанию для округления"
"Use First Day of Period","Использовать первый день периода"
"Use Google Maps Direction API to calculate estimated arrival times","Использовать Google Maps Direction API для расчета предполагаемого времени прибытия"
"Use Google Maps Direction API to optimize route","Использовать Google Maps Direction API для оптимизации маршрута"
"Use HTML","Использовать HTML"
"Use HTTP Protocol","Использовать протокол HTTP"
"Use IMAP","Использовать IMAP"
"Use Item based reposting","Использовать переопубликирование по номенклатурам"
"Use Legacy Controller For Period Closing Voucher","Использовать устаревший контроллер для документа закрытия периода"
"Use Multi-Level BOM","Использовать многоуровневую спецификацию"
"Use Number Format from Currency","Использовать числовой формат из валюты"
"Use POST","Использовать POST"
"Use Prices from Default Price List as Fallback","Использовать цены из прайс-листа по умолчанию как резервный вариант"
"Use Report Chart","Использовать диаграмму отчёта"
"Use SSL","Использовать SSL"
"Use STARTTLS","Использовать STARTTLS"
"Use Serial / Batch Fields","Использовать поля серийного номера / партии"
"Use Serial No / Batch Fields","Использовать поля серийного номера / партии"
"Use TLS","Использовать TLS"
"Use Transaction Date Exchange Rate","Использовать курс обмена на дату транзакции"
"Use a few uncommon words together.","Используйте несколько необычных слов вместе."
"Use a few words, avoid common phrases.","Используйте несколько слов, избегайте распространённых фраз."
"Use a name that is different from previous project name","Используйте название, которое отличается от предыдущего названия проекта"
"Use different Email ID","Используйте другой адрес электронной почты"
"Use for Shopping Cart","Использовать для корзины покупок"
"Use of sub-query or function is restricted","Использование подзапросов или функций запрещено"
"Use the new Print Format Builder","Использовать новый конструктор печатных форм"
"Use this field to render any custom HTML in the section.","Используйте это поле для отображения любого пользовательского HTML в разделе."
"Use this fieldname to generate title","Используйте это имя поля для формирования заголовка"
"Use this, for example, if all sent emails should also be send to an archive.","Используйте, например, если все отправленные письма должны также отправляться в архив."
"Used","Использовано"
"Used OAuth","Использовал OAuth"
"Used for Production Plan","Используется для плана производства"
"User","Пользователь"
"User '{0}' already has the role '{1}'","Пользователь '{0}' уже имеет роль '{1}'"
"User Cannot Create","Пользователь не может создавать"
"User Cannot Search","Пользователь не может искать"
"User Changed","Пользователь изменён"
"User Defaults","Параметры пользователя по умолчанию"
"User Details","Детали пользователя"
"User Document Type","Тип документа пользователя"
"User Email","Электронная почта пользователя"
"User Emails","Электронные адреса пользователя"
"User Field","Поле пользователя"
"User Forum","Форум пользователя"
"User Group","Группа пользователей"
"User Group Member","Член группы пользователей"
"User Group Members","Члены группы пользователей"
"User ID","ID пользователя"
"User ID Property","Свойство ID пользователя"
"User ID not set for Employee {0}","ID пользователя не установлен для сотрудника {0}"
"User ID of a Blogger","ID пользователя блоггера"
"User Id","ID пользователя"
"User Id Field","Поле ID пользователя"
"User Id Field is mandatory in the user type {0}","Поле ID пользователя обязательно в типе пользователя {0}"
"User Image","Изображение пользователя"
"User Invitation","Приглашение пользователя"
"User Menu","Меню пользователя"
"User Name","Имя пользователя"
"User Permission","Разрешение пользователя"
"User Permissions","Разрешения пользователя"
"User Permissions are used to limit users to specific records.","Разрешения пользователя используются для ограничения доступа пользователей к определённым записям."
"User Permissions created sucessfully","Разрешения пользователя успешно созданы"
"User Profile","Профиль пользователя"
"User Remark","Примечание пользователя"
"User Resolution Time","Время разрешения пользователем"
"User Role","Роль пользователя"
"User Select Document Type","Тип документа выбора пользователя"
"User Settings","Параметры пользователя"
"User Social Login","Вход пользователя в социальную сеть"
"User Tags","Теги пользователя"
"User Type","Тип пользователя"
"User Type Module","Модуль типа пользователя"
"User can login using Email id or Mobile number","Пользователь может входить, используя адрес электронной почты или номер телефона"
"User can login using Email id or User Name","Пользователь может входить, используя адрес электронной почты или имя пользователя"
"User does not exist","Пользователь не существует"
"User has not applied rule on the invoice {0}","Пользователь не применил правило к счёту {0}"
"User is disabled","Пользователь отключён"
"User is mandatory for Share","Пользователь обязателен для Доступа"
"User must always select","Пользователь должен всегда выбирать"
"User not allowed to delete {0}: {1}","Пользователю не разрешено удалять {0}: {1}"
"User permission already exists","Разрешение пользователя уже существует"
"User with email address {0} does not exist","Пользователь с адресом электронной почты {0} не существует"
"User with email: {0} does not exist in the system. Please ask 'System Administrator' to create the user for you.","Пользователь с электронной почтой {0} не существует в системе. Попросите 'Администратора системы' создать для вас этого пользователя."
"User {0} cannot be deleted","Пользователь {0} не может быть удалён"
"User {0} cannot be disabled","Пользователь {0} не может быть отключен"
"User {0} cannot be renamed","Пользователь {0} не может быть переименован"
"User {0} does not exist","Пользователь {0} не существует"
"User {0} does not have access to this document","Пользователь {0} не имеет доступа к этому документу"
"User {0} does not have doctype access via role permission for document {1}","Пользователь {0} не имеет доступа к типу документа через разрешение роли для документа {1}"
"User {0} does not have the permission to create a Workspace.","Пользователь {0} не имеет разрешения на создание Рабочего пространства"
"User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.","Пользователь {0} не имеет профиля ПОС по умолчанию. Проверьте Установить по умолчанию в Строке {1} для этого пользователя"
"User {0} has requested for data deletion","Пользователь {0} запросил удаление данных"
"User {0} has started an impersonation session as you. <br><br><b>Reason provided:</b> {1}","Пользователь {0} начал сеанс подменты от вашего имени. <br><br><b>Указанная причина:</b> {1}"
"User {0} impersonated as {1}","Пользователь {0} осуществил подмену под {1}"
"User {0} is already assigned to Employee {1}","Пользователь {0} уже назначен сотруднику {1}"
"User {0} is disabled","Пользователь {0} отключён"
"User {0} is disabled. Please contact your System Manager.","Пользователь {0} отключён. Пожалуйста, свяжитесь с администратором системы"
"User {0} is not permitted to access this document.","Пользователю {0} не разрешен доступ к этому документу"
"User {0}: Removed Employee Self Service role as there is no mapped employee.","Пользователь {0}: роль Самообслуживания сотрудника удалена, так как нет привязанного сотрудника"
"User {0}: Removed Employee role as there is no mapped employee.","Пользователь {0}: роль Сотрудника удалена, так как нет привязанного сотрудника"
"User {} is disabled. Please select valid user/cashier","Пользователь {} отключён. Пожалуйста, выберите корректного пользователя/кассира"
"Userinfo URI","URI информации пользователя"
"Username","Имя пользователя"
"Username {0} already exists","Имя пользователя {0} уже существует"
"Users","Пользователи"
"Users are only able to delete attached files if the document is either in draft or if the document is canceled and they are also able to delete the document.","Пользователи могут удалять присоединённые файлы только если документ находится в статусе черновика или если документ отменён, а также они могут удалять сам документ"
"Users assigned to the reference document will get points.","Пользователи, назначенные на документ-ссылку, получат баллы"
"Users can enable the checkbox If they want to adjust the incoming rate (set using purchase receipt) based on the purchase invoice rate.","Пользователи могут установить флажок, если они хотят скорректировать входящую стоимость (установленную с помощью приходной накладной) на основе стоимости из счёта покупателя"
"Users with this role are allowed to over bill above the allowance percentage","Пользователи с этой ролью могут превышать норму выставления счётов выше допустимого процента"
"Users with this role are allowed to over deliver/receive against orders above the allowance percentage","Пользователи с этой ролью могут превышать нормы поставки/приёма по заказам выше допустимого процента"
"Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts","Пользователи с этой ролью имеют право устанавливать заблокированные счета и создавать / изменять бухгалтерские записи по заблокированным счетам"
"Uses system's theme to switch between light and dark mode","Использует тему системы для переключения между светлым и тёмным режимом"
"Using negative stock disables FIFO/Moving average valuation when inventory is negative.","Использование отрицательного запаса отключает оценку FIFO/Средней стоимости при отрицательном остатке"
"Using this console may allow attackers to impersonate you and steal your information. Do not enter or paste code that you do not understand.","Использование этой консоли может позволить злоумышленникам выдать себя за вас и украсть вашу информацию. Не вводите и не вставляйте код, который вы не понимаете."
"Utilities","Вспомогательные средства"
"Utility Expenses","Расходы на вспомогательные средства"
"Utilization","Загрузка"
"Utilization %","Загрузка %"
"VAT Accounts","Счета НДС"
"VAT Amount (AED)","Сумма НДС (AED)"
"VAT Audit Report","Отчёт по аудиту НДС"
"VAT on Expenses and All Other Inputs","НДС на расходы и все прочие входящие платежи"
"VAT on Sales and All Other Outputs","НДС на продажи и все прочие исходящие платежи"
"Valid","Действительно"
"Valid From","Действительно с"
"Valid From date not in Fiscal Year {0}","Дата начала действия находится вне финансового года {0}"
"Valid From must be after {0} as last GL Entry against the cost center {1} posted on this date","Дата начала действия должна быть позже {0}, так как последняя запись ГЛ по центру затрат {1} произведена в эту дату"
"Valid Login id required.","Требуется действительный идентификатор входа."
"Valid Till","Действительно до"
"Valid Upto","Действительно до"
"Valid Upto date cannot be before Valid From date","Дата окончания действия не может быть раньше даты начала действия"
"Valid Upto date not in Fiscal Year {0}","Дата окончания действия находится вне финансового года {0}"
"Valid email and name required","Требуется действительный адрес электронной почты и имя"
"Valid for Countries","Действительно для стран"
"Valid from and valid upto fields are mandatory for the cumulative","Поля начала действия и окончания действия обязательны для накопительных"
"Valid till Date cannot be before Transaction Date","Дата окончания действия не может быть раньше даты операции"
"Valid till date cannot be before transaction date","Дата окончания действия не может быть раньше даты операции"
"Validate Applied Rule","Проверить применённое правило"
"Validate Components and Quantities Per BOM","Проверить компоненты и количества по спецификации"
"Validate Consumed Qty (as per BOM)","Проверить потреблённое количество (по спецификации)"
"Validate Field","Проверить поле"
"Validate Material Transfer Warehouses","Проверить склады передачи материалов"
"Validate Negative Stock","Проверить отрицательный запас"
"Validate Pricing Rule","Проверить правило ценообразования"
"Validate Selling Price for Item Against Purchase Rate or Valuation Rate","Проверить цену продажи номенклатуры в сравнении с ценой покупки или ценой оценки"
"Validate Stock on Save","Проверить запас при сохранении"
"Validation Error","Ошибка проверки"
"Validity","Срок действия"
"Validity Details","Детали срока действия"
"Validity and Usage","Срок действия и использование"
"Validity in Days","Срок действия в днях"
"Validity period of this quotation has ended.","Период действия данного коммерческого предложения истёк."
"Valuation","Оценка стоимости"
"Valuation (I - K)","Оценка стоимости (И - К)"
"Valuation Field Type","Тип поля оценки стоимости"
"Valuation Method","Метод оценки стоимости"
"Valuation Rate (In / Out)","Цена оценки (Приход / Расход)"
"Valuation Rate Missing","Цена оценки не указана"
"Valuation Rate for the Item {0}, is required to do accounting entries for {1} {2}.","Цена оценки для номенклатуры {0} требуется для проведения бухгалтерских записей по {1} {2}."
"Valuation Rate is mandatory if Opening Stock entered","Цена оценки обязательна при вводе остатков на начало периода"
"Valuation Rate required for Item {0} at row {1}","Цена оценки требуется для номенклатуры {0} в строке {1}"
"Valuation and Total","Оценка стоимости и итого"
"Valuation rate for customer provided items has been set to zero.","Цена оценки для материалов, предоставленных заказчиком, установлена в ноль."
"Valuation rate for the item as per Sales Invoice (Only for Internal Transfers)","Цена оценки для номенклатуры в соответствии с накладной (только для внутренних передач)"
"Valuation type charges can not be marked as Inclusive","Расходы по типу оценки не могут быть отмечены как включённые"
"Valuation type charges can not marked as Inclusive","Расходы по типу оценки не могут быть отмечены как включённые"
"Value","Значение"
"Value (G - D)","Значение (Г - Д)"
"Value ({0})","Значение ({0})"
"Value After Depreciation","Стоимость после амортизации"
"Value Based Inspection","Проверка по стоимости"
"Value Based On","Значение на основе"
"Value Change","Изменение значения"
"Value Changed","Значение изменено"
"Value Details","Детали значения"
"Value Or Qty","Значение или количество"
"Value Proposition","Торговое предложение"
"Value To Be Set","Значение для установки"
"Value as on","Значение на"
"Value cannot be changed for {0}","Значение не может быть изменено для {0}"
